generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,5,16.0,20.0,10.0,5.477225575051661,52.4,81.0,37.0,18.077610461562667,8.2,13,6,2.8635642126552705,0.16,0.2,0.1,0.05477225575051661,0,0,0
1,7,38.57142857142857,100.0,10.0,31.320159337914948,34.142857142857146,65.0,14.0,21.114201945835504,6.0,11,2,3.1622776601683795,0.38571428571428573,1.0,0.1,0.3132015933791495,1,1,0
2,9,41.111111111111114,100.0,10.0,35.15837184954831,36.77777777777778,54.0,14.0,16.452794426614723,6.777777777777778,10,4,2.223610677354389,0.4111111111111112,1.0,0.1,0.3515837184954831,2,2,0
3,9,43.333333333333336,100.0,10.0,35.35533905932738,39.111111111111114,80.0,14.0,24.644697423809266,6.777777777777778,12,4,3.032234233110042,0.43333333333333335,1.0,0.1,0.3535533905932738,2,2,0
4,6,38.333333333333336,100.0,10.0,36.00925806881706,24.833333333333332,51.0,14.0,13.629624597422582,4.833333333333333,7,3,1.4719601443879744,0.38333333333333336,1.0,0.1,0.3600925806881706,1,1,0
