simulation,generation,optimal_bw,goal_short_bkb,goal_long_bkb,goal_effective_bkb,goal_var,confidence,tracking_rate_short,tracking_rate_effective,success_rate
1,0,80,11.40625,33.27716827392578,33.27716827392578,4.273681640625,0.9415102489738233,0.142578125,0.41596460342407227,0.0
1,10,70,11.393922396886662,27.89860014980807,27.89860014980807,7.01899610964917,0.9132727477965564,0.16277031995552374,0.3985514307115438,0.2
1,20,70,36.35579321489145,38.54370705937386,38.54370705937386,9.094972029308234,0.9274344601333991,0.5193684744984493,0.5506243865624837,0.0
1,30,50,13.087681859362753,26.846622363576348,26.846622363576348,7.018766381926832,0.9101809454841687,0.2617536371872551,0.536932447271527,0.5
1,40,60,12.319276283121926,29.46583878402277,29.46583878402277,7.642091793909165,0.9142286684292082,0.20532127138536543,0.4910973130670461,0.3
1,50,70,39.725091746554824,53.513643629520224,53.513643629520224,11.010777695309645,0.9416129038368329,0.5675013106650689,0.7644806232788603,0.6
1,60,90,39.83352420240689,55.1675094572923,55.1675094572923,10.381862878652704,0.9448174012115508,0.44259471336007655,0.6129723273032478,0.0
1,70,90,24.902171489079155,52.12227936332249,52.12227936332249,11.259764009296259,0.9395153561850584,0.27669079432310173,0.5791364373702499,0.0
1,80,90,47.43140179954601,63.688306654464895,63.688306654464895,8.651123047540404,0.9558562594078649,0.5270155755505113,0.7076478517162766,0.0
1,90,90,49.129383214698144,48.19045832654834,49.129383214698144,10.594312688480024,0.9378651197331034,0.5458820357188683,0.5458820357188683,0.0
1,100,80,29.93628402997274,42.10162886653239,42.10162886653239,6.227891281511406,0.9440419093658041,0.37420355037465924,0.5262703608316548,0.0
1,110,80,32.420558614230366,46.32616387054873,46.32616387054873,8.488416100857219,0.9408304385025067,0.4052569826778796,0.5790770483818591,0.0
1,120,80,34.96324516759784,49.349368088462036,49.349368088462036,7.849727802998894,0.9462765633142604,0.437040564594973,0.6168671011057755,0.0
1,130,80,39.95086669455301,62.968951629277555,62.968951629277555,11.482044104352727,0.9489354160092349,0.4993858336819126,0.7871118953659695,0.8
1,140,70,39.926757672218116,58.71277450361424,58.71277450361424,9.431094248078459,0.9502942598887953,0.5703822524602588,0.8387539214802034,0.8
1,150,80,39.94113533404965,59.7718102057925,59.7718102057925,9.498551770799116,0.9509660047861489,0.4992641916756206,0.7471476275724063,0.0
1,160,80,14.023415981646323,35.152504415876834,35.152504415876834,7.582031440050146,0.9273585973344836,0.17529269977057904,0.4394063051984604,0.0
1,170,90,54.96070787004839,58.06185485991419,58.06185485991419,2.695224936090635,0.9725022464395429,0.6106745318894266,0.6451317206657132,0.0
1,180,80,29.892425033030175,41.14227652010381,41.14227652010381,6.983963907472869,0.9396432726967655,0.3736553129128772,0.5142784565012977,0.0
1,190,90,23.680496513811633,37.34448068133684,37.34448068133684,6.93571383876632,0.9341245004364055,0.26311662793124035,0.414938674237076,0.0
1,200,80,34.98036336139023,40.00877494786762,40.00877494786762,6.455430087786658,0.9402871450129275,0.4372545420173779,0.5001096868483452,0.0
1,210,90,14.851034729572165,29.781086836237176,29.781086836237176,7.918791190443184,0.9136669982882515,0.16501149699524628,0.3309009648470797,0.0
1,220,90,14.144512384877714,33.35386170241242,33.35386170241242,8.176060657218274,0.9210404553617596,0.15716124872086348,0.370598463360138,0.0
1,230,90,52.49632592771807,56.27280605541317,56.27280605541317,4.609593081169326,0.9632488264856817,0.5832925103079786,0.6252534006157019,0.0
1,240,80,19.999813697501985,43.227783044228204,43.227783044228204,6.6409214283741935,0.9437395301908813,0.2499976712187748,0.5403472880528526,0.0
1,250,70,19.942568873152872,37.850297306666604,37.850297306666604,7.804760880957401,0.9312641377908658,0.284893841045041,0.54071853295238,0.0
1,260,60,21.21794998642344,39.712760145295874,39.712760145295874,7.596803524166628,0.9351001768209851,0.353632499773724,0.6618793357549312,0.7
1,270,80,27.42072894237017,44.72666343019839,44.72666343019839,8.259735188035943,0.9396231738315374,0.34275911177962715,0.5590832928774799,0.0
1,280,80,44.711487003877934,51.663809381424166,51.663809381424166,8.83130330101983,0.9456077531356615,0.5588935875484742,0.645797617267802,0.0
1,290,70,18.681535235754936,40.322285195947586,40.322285195947586,8.91201612176579,0.9310675025761315,0.2668790747964991,0.5760326456563941,0.0
1,300,70,18.651116931561642,41.687626423379044,41.687626423379044,9.520468472268952,0.9310853603694128,0.26644452759373777,0.5955375203339863,0.4
1,310,60,24.45174539221127,44.78019867796727,44.78019867796727,11.630197148330307,0.9292327938142828,0.4075290898701878,0.7463366446327878,0.4
1,320,80,44.91641744386012,56.56510386119098,56.56510386119098,8.598233802290306,0.9507159039553988,0.5614552180482515,0.7070637982648872,0.0
1,330,80,69.82376053871093,63.90730392980665,69.82376053871093,3.326618076287937,0.9745434558410203,0.8727970067338866,0.8727970067338866,0.0
1,340,60,59.872397027170265,56.70855879929072,59.872397027170265,2.778685331996844,0.9729126275853814,0.9978732837861711,0.9978732837861711,0.8
1,350,80,79.87528755663219,69.9454054588189,79.87528755663219,3.2394370094752554,0.9779633827175099,0.9984410944579023,0.9984410944579023,0.9
1,360,80,79.91204712189983,74.79852976433413,79.91204712189983,2.5051957343277547,0.9805781415952353,0.9989005890237479,0.9989005890237479,0.9
1,370,80,22.460745637031877,45.476896154572756,45.476896154572756,9.029769846497464,0.9380189222239115,0.2807593204628985,0.5684612019321594,0.0
1,380,90,24.980183569372176,37.616881477910155,37.616881477910155,4.7782671255833025,0.945081139206769,0.2775575952152464,0.4179653497545573,0.0
