generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,9,30.0,70.0,10.0,20.0,41.333333333333336,83.0,9.0,22.28788908802267,7.111111111111111,12,2,3.05959329178097,0.42857142857142855,1.0,0.14285714285714285,0.2857142857142857,1,1,0
1,9,28.88888888888889,70.0,10.0,17.638342073763937,32.111111111111114,47.0,19.0,8.781293248212993,5.888888888888889,9,4,1.6158932858054431,0.4126984126984127,1.0,0.14285714285714285,0.25197631533948484,1,1,0
2,9,35.55555555555556,70.0,10.0,17.40051084818425,26.555555555555557,51.0,7.0,16.109865852258913,5.0,10,2,2.6457513110645907,0.5079365079365079,1.0,0.14285714285714285,0.24857872640263215,1,1,0
3,9,32.22222222222222,70.0,10.0,18.55921454276674,35.111111111111114,49.0,10.0,11.60220285597141,6.444444444444445,9,2,2.1278575558006176,0.46031746031746035,1.0,0.14285714285714285,0.2651316363252392,1,1,0
4,10,43.0,70.0,10.0,25.84139659108574,32.3,63.0,2.0,17.52490291619963,5.8,9,2,2.2010098692292237,0.6142857142857143,1.0,0.14285714285714285,0.369162808444082,4,4,0
