generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,8,41.25,90.0,10.0,40.51013982414068,25.625,53.0,5.0,19.949489789394185,5.75,10,1,4.026696625558687,0.45833333333333337,1.0,0.1111111111111111,0.4501126647126742,3,3,0
1,10,56.0,90.0,10.0,36.87817782917155,13.0,27.0,5.0,9.006170724070865,2.9,7,1,2.282785822435191,0.6222222222222221,1.0,0.1111111111111111,0.40975753143523946,5,5,0
2,9,72.22222222222223,90.0,10.0,35.276684147527874,12.444444444444445,52.0,5.0,16.241236953439778,2.888888888888889,11,1,3.8224483137265715,0.802469135802469,1.0,0.1111111111111111,0.39196315719475416,7,7,0
3,10,66.0,90.0,10.0,38.64367132317184,12.5,34.0,5.0,12.331080875395942,3.5,12,1,4.196559437338057,0.7333333333333332,1.0,0.1111111111111111,0.4293741258130204,7,7,0
4,10,75.0,90.0,10.0,31.710495984067414,10.8,39.0,5.0,12.452576707921404,2.1,8,1,2.4244128727957577,0.8333333333333333,1.0,0.1111111111111111,0.3523388442674157,8,8,0
