generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,7,17.142857142857142,30.0,10.0,9.511897312113419,44.57142857142857,81.0,24.0,21.62450109526339,7.0,11,4,2.70801280154532,0.17142857142857146,0.3,0.1,0.09511897312113418,0,0,0
1,4,25.0,40.0,10.0,12.909944487358056,34.0,69.0,9.0,26.217042802980913,5.0,9,2,3.1622776601683795,0.25,0.4,0.1,0.12909944487358058,0,0,0
2,9,21.11111111111111,30.0,10.0,9.27960727138337,28.11111111111111,66.0,9.0,20.72103064789759,4.0,9,2,2.692582403567252,0.21111111111111114,0.3,0.1,0.0927960727138337,0,0,0
3,8,22.5,90.0,10.0,28.157719063467177,33.875,53.0,9.0,17.504591234465153,5.375,9,2,2.615202805574687,0.22500000000000006,0.9,0.1,0.2815771906346718,0,0,0
4,6,30.0,90.0,10.0,30.983866769659336,42.333333333333336,71.0,11.0,20.992061991778385,6.5,10,2,3.2710854467592254,0.30000000000000004,0.9,0.1,0.30983866769659335,0,0,0
