generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,10,35.0,100.0,10.0,34.721111093332766,22.3,51.0,7.0,15.100036791713825,4.0,8,1,2.581988897471611,0.3500000000000001,1.0,0.1,0.3472111109333276,2,2,0
1,6,58.333333333333336,100.0,10.0,46.2240918425302,35.666666666666664,67.0,10.0,28.331372481167705,5.5,11,1,5.049752469181039,0.5833333333333334,1.0,0.1,0.46224091842530196,3,3,0
2,8,67.5,100.0,10.0,44.96029994816062,31.125,72.0,10.0,29.478503063370482,5.125,13,1,5.718079098038831,0.6749999999999999,1.0,0.1,0.44960299948160615,5,5,0
3,10,92.0,100.0,20.0,25.298221281347036,13.4,44.0,10.0,10.75174404457249,1.7,8,1,2.2135943621178655,0.9199999999999999,1.0,0.2,0.25298221281347033,9,9,0
4,9,90.0,100.0,10.0,30.0,11.666666666666666,25.0,10.0,5.0,1.5555555555555556,6,1,1.6666666666666667,0.8999999999999999,1.0,0.1,0.3,8,8,0
