generation,num_ants_reached,avg_bandwidth,max_bandwidth,min_bandwidth,std_bandwidth,avg_delay,max_delay,min_delay,std_delay,avg_hops,max_hops,min_hops,std_hops,avg_quality_score,max_quality_score,min_quality_score,std_quality_score,optimal_count,unique_optimal_count,interest_hit
0,10,59.0,90.0,20.0,16.6332999331662,12.1,38.0,9.0,9.12201244852862,1.5,5,1,1.2692955176439846,0.6555555555555556,1.0,0.2222222222222222,0.18481444370184666,1,1,0
1,10,56.0,60.0,20.0,12.649110640673518,12.9,48.0,9.0,12.33288287465668,1.8,9,1,2.5298221281347035,0.6222222222222222,0.6666666666666666,0.2222222222222222,0.14054567378526128,0,0,0
2,10,62.0,90.0,50.0,10.327955589886445,9.9,16.0,9.0,2.2335820757001272,1.4,4,1,0.9660917830792959,0.6888888888888889,1.0,0.5555555555555556,0.1147550621098494,1,1,0
3,10,63.0,90.0,60.0,9.486832980505138,9.2,11.0,9.0,0.6324555320336759,1.1,2,1,0.31622776601683794,0.7,1.0,0.6666666666666666,0.10540925533894599,1,1,0
4,10,62.0,90.0,50.0,10.327955589886445,10.7,24.0,9.0,4.715223571935199,1.5,5,1,1.2692955176439846,0.6888888888888889,1.0,0.5555555555555556,0.1147550621098494,1,1,0
